Title,,,,,,,,,,,,,
Description,,,,,,,,,,,,,
Date,Longitude,Latitude,Altitude [m],Source,GlobalCellId,PCI,Frequency [MHz],LTE NB-RSRP_Top1_byPower [dBm],LTE NB-RSRP_Top2_byPower [dBm],LTE NB-RSRP_Top3_byPower [dBm],LTE NB-RSRQ_Top1_byPower [dB],LTE NB-RSRQ_Top2_byPower [dB],LTE NB-RSRQ_Top3_byPower [dB]
11/4/2025 16:44:46.430,-73.0089022425532,5.05763924361702,1029,Scanner,,337,768,-95.63,,,-11.08,,
11/4/2025 16:44:46.430,-73.0089022425532,5.05763924361702,1029,Scanner,,452,768,,-97.62,,,-12.89,
11/4/2025 16:44:46.430,-73.0089022425532,5.05763924361702,1029,Scanner,,451,768,,,-104.18,,,-19.55
11/4/2025 16:44:47.848,-73.0089179362832,5.05762560619469,1029,Scanner,,337,768,-95.94,,,-11.48,,
11/4/2025 16:44:47.848,-73.0089179362832,5.05762560619469,1029,Scanner,,452,768,,-101.81,,,-16.58,
11/4/2025 16:44:47.848,-73.0089179362832,5.05762560619469,1029,Scanner,,451,768,,,-106.82,,,-21.59
11/4/2025 16:44:50.046,-73.0089430723404,5.05760050851064,1030,Scanner,,451,768,,,-103.31,,,-21.01
11/4/2025 16:44:50.046,-73.0089430723404,5.05760050851064,1030,Scanner,LTE 732/123/250129/52,452,768,-97.42,,,-15.12,,
11/4/2025 16:44:50.046,-73.0089430723404,5.05760050851064,1030,Scanner,LTE 732/103/250129/52,452,768,-97.42,,,-15.12,,
11/4/2025 16:44:50.046,-73.0089430723404,5.05760050851064,1030,Scanner,LTE 732/103/832019/181,337,768,,-97.98,,,-13.72,
11/4/2025 16:44:50.699,-73.0089476034384,5.05759429426934,1030,Scanner,,451,768,,,-102.46,,,-21.15
11/4/2025 16:44:50.699,-73.0089476034384,5.05759429426934,1030,Scanner,LTE 732/103/832019/181,337,768,-95.65,,,-13.46,,
11/4/2025 16:44:50.699,-73.0089476034384,5.05759429426934,1030,Scanner,LTE 732/123/250129/52,452,768,,-95.94,,,-14.63,
11/4/2025 16:44:50.699,-73.0089476034384,5.05759429426934,1030,Scanner,LTE 732/103/250129/52,452,768,,-95.94,,,-14.63,
11/4/2025 16:44:51.630,-73.0089528470199,5.05758549536424,1030,Scanner,,451,768,,,-99.43,,,-20.45
11/4/2025 16:44:51.630,-73.0089528470199,5.05758549536424,1030,Scanner,LTE 732/123/250129/52,452,768,-92.82,,,-13.84,,
11/4/2025 16:44:51.630,-73.0089528470199,5.05758549536424,1030,Scanner,LTE 732/103/250129/52,452,768,-92.82,,,-13.84,,
11/4/2025 16:44:51.630,-73.0089528470199,5.05758549536424,1030,Scanner,LTE 732/103/832019/181,337,768,,-97.83,,,-14.93,
11/4/2025 16:44:52.433,-73.0089568701987,5.05757825364239,1030,Scanner,,451,768,,,-103.49,,,-21.29
11/4/2025 16:44:52.433,-73.0089568701987,5.05757825364239,1030,Scanner,LTE 732/103/832019/181,337,768,-94.71,,,-11.54,,
11/4/2025 16:44:52.433,-73.0089568701987,5.05757825364239,1030,Scanner,LTE 732/123/250129/52,452,768,,-97.62,,,-15.42,
11/4/2025 16:44:52.433,-73.0089568701987,5.05757825364239,1030,Scanner,LTE 732/103/250129/52,452,768,,-97.62,,,-15.42,
11/4/2025 16:44:53.548,-73.0089583,5.0575758,1030,Scanner,,451,768,,,-103.85,,,-21.72
11/4/2025 16:44:53.548,-73.0089583,5.0575758,1030,Scanner,LTE 732/103/832019/181,337,768,-95.82,,,-11.79,,
11/4/2025 16:44:53.548,-73.0089583,5.0575758,1030,Scanner,LTE 732/123/250129/52,452,768,,-96.63,,,-14.5,
11/4/2025 16:44:53.548,-73.0089583,5.0575758,1030,Scanner,LTE 732/103/250129/52,452,768,,-96.63,,,-14.5,
11/4/2025 16:44:54.434,-73.0089584875,5.0575758,1030,Scanner,,451,768,,,-104.63,,,-21.32
11/4/2025 16:44:54.434,-73.0089584875,5.0575758,1030,Scanner,LTE 732/103/832019/181,337,768,-94.92,,,-11.36,,
11/4/2025 16:44:54.434,-73.0089584875,5.0575758,1030,Scanner,LTE 732/123/250129/52,452,768,,-97.77,,,-14.46,
11/4/2025 16:44:54.434,-73.0089584875,5.0575758,1030,Scanner,LTE 732/103/250129/52,452,768,,-97.77,,,-14.46,
11/4/2025 16:44:55.433,-73.0089587789991,5.05757570700031,1030,Scanner,,167,768,,,-101.39,,,-18.66
11/4/2025 16:44:55.433,-73.0089587789991,5.05757570700031,1030,Scanner,LTE 732/103/832019/181,337,768,-94.64,,,-11.83,,
11/4/2025 16:44:55.433,-73.0089587789991,5.05757570700031,1030,Scanner,LTE 732/123/250129/52,452,768,,-97.07,,,-14.78,
11/4/2025 16:44:55.433,-73.0089587789991,5.05757570700031,1030,Scanner,LTE 732/103/250129/52,452,768,,-97.07,,,-14.78,
11/4/2025 16:44:56.430,-73.008958894898,5.05757579489796,1030,Scanner,,167,768,,,-102.74,,,-20.02
11/4/2025 16:44:56.430,-73.008958894898,5.05757579489796,1030,Scanner,LTE 732/103/832019/181,337,768,-94.48,,,-11.71,,
11/4/2025 16:44:56.430,-73.008958894898,5.05757579489796,1030,Scanner,LTE 732/123/250129/52,452,768,,-97.29,,,-14.55,
11/4/2025 16:44:56.430,-73.008958894898,5.05757579489796,1030,Scanner,LTE 732/103/250129/52,452,768,,-97.29,,,-14.55,
11/4/2025 16:44:57.429,-73.0089589,5.05757570432099,1030,Scanner,,167,768,,,-104.57,,,-20.82
11/4/2025 16:44:57.429,-73.0089589,5.05757570432099,1030,Scanner,LTE 732/103/832019/181,337,768,-95.59,,,-11.84,,
11/4/2025 16:44:57.429,-73.0089589,5.05757570432099,1030,Scanner,LTE 732/123/250129/52,452,768,,-97.6,,,-14.5,
11/4/2025 16:44:57.429,-73.0089589,5.05757570432099,1030,Scanner,LTE 732/103/250129/52,452,768,,-97.6,,,-14.5,
